,Roads,Power,Fuel,Busstops,Commercial,Landuse,,,,,,
Roads,1,1.00,0.50,5.00,2,0.5,,,,,,
Power,1,1,0.5,5,2,0.5,,,,,,
Fuel,2,2,1,7,3,1,,,,,,
Busstops,0.2,0.2,0.142857143,1,0.25,0.2,,,,,,
Commercial,0.5,0.5,0.333333333,4,1,0.5,,,,,,
Landuse,2,2,1,5,2,1,,,,,,
SUM,6.7,6.70,3.476190476,27,10.25,3.7,,,,,,
,,,,,,,,,,,,
NORMALIZED,Roads,Power,Fuel,Bus-stops,Commercial,Landuse,WEIGHT,,Weighted Sum,Consistency Vector,,Lambda max
Roads,0.149253731,0.149253731,0.143835616,0.185185185,0.195121951,0.135135135,0.159630892,,0.978337031,6.128745004,,6.100841103
Power,0.149253731,0.149253731,0.143835616,0.185185185,0.195121951,0.135135135,0.159630892,,0.978337031,6.128745004,CI,0.020168221
Fuel,0.298507463,0.298507463,0.287671233,0.259259259,0.292682927,0.27027027,0.284483102,,1.744203302,6.13113147,CR,0.016264694
Bus-stops,0.029850746,0.029850746,0.04109589,0.037037037,0.024390244,0.054054054,0.036046453,,0.217797555,6.042135552,,
Commercial,0.074626866,0.074626866,0.095890411,0.148148148,0.097560976,0.135135135,0.1043314,,0.630914435,6.047215258,,
Landuse,0.298507463,0.298507463,0.287671233,0.185185185,0.195121951,0.27027027,0.255877261,,1.567778996,6.127074327,,
,,,,,,SUM,1,,,,,
